Domande,Risposte,embedding_model,llm_model,response_time,retrieval_effectivness,llm_semantic_effectivness,llm_syntax_grammar_effectivness
Ricette vegane senza glutine?,"Non lo so. Esistono molte ricette che contengono glutine, ma potrebbero non essere adatte ai vegani a causa della mancanza di un ingrediente specifico o perché è difficile da trovare in alcuni negozi e fonti online come i siti di libri di cucina.",all-mpnet-base-v2,declare-lab/flan-alpaca-large,1.59406E+16,0,1,1
Ricette con le lenticchie?,"Non lo so. Sono molte le ricette che utilizzano le lenticchie, come le verdure arrostite e le zuppe con spezie come cumino o coriandolo; fritture a base di patate cotte in olio d'oliva per un pasto facile senza il fastidio di cucinarle a casa; piatti di verdure stufate utilizzando legumi secchi per conferirgli una consistenza saporita; rosolare le fette di carota a fuoco medio finché non diventano croccanti su un lato mentre sono ancora calde (facoltativo); i fagioli al forno vengono serviti caldi ma non ancora bollenti",,,1.8622E+14,,,
Ricetta della lasagna vegana?,"Non lo so. Dipende dalla persona e dalle sue preferenze, ma è una ricetta di lasagne vegane semplice ma molto gustosa che può essere preparata con latte di soia o seitan come alternativa alla carne al posto del manzo per aggiungere aromi come aglio in polvere, cipolla, sale, basilico. formaggio ai peperoni ecc.",,,1.33528E+16,,,
Ricette per integrare il ferro?,"In inverno integratori consigliati. Alimenti che forniscono 2 mg di ferro: 14 g di pistacchi 32 g di anacardi tostati, 95 g di lenticchie e ceci 19 g di albicocche disidratate Oli di lino, colza e semi di canapa",,,1.42106E+15,,,
Come diventare vegani?,"Non esiste un modo ideale per iniziare una dieta vegana. Una possibilità è puntare dritto all'obiettivo e optare per una dieta vegetale totale fin dall'inizio, oppure passare gradualmente all'alimentazione vegana iniziando con un pasto vegetariano al giorno, o un giorno di una settimana di dieta vegetariana.",,,1.05692E+16,,,
Antipasti vegani?,"Gli antipasti vegani possono includere verdure arrostite, formaggio vegano e cracker con olio d'oliva o burro. Potresti anche provare a preparare un condimento per l'insalata a base di verdure mescolando alcune erbe fresche come rosmarino e aglio nella vinaigrette prima di aggiungerlo ai tuoi piatti preferiti, come un piatto di pasta, per un pasto semplice, sano ma delizioso!",,,1.26125E+15,,,
Come sostituisco la carne?,"La risposta è utilizzare la soia in granuli o il seitan tritato. In questa ricetta potete anche provare a sostituire la carne macinata con verdure come carote, zucchine e patate, utilizzando brodo vegetale al posto dell'acqua (o anche cuocendole con altri ingredienti).",,,1.13932E+16,,,
Cosa posso fare con le melanzane?,"Le melanzane possono essere utilizzate in una varietà di piatti, come fritture e insalate. Sono ottimi anche per preparare zuppe o stufati con altre verdure come carote, patate, cipolle ecc.",,,9.86499E+15,,,
Che significa essere vegani?,"Una dieta vegana è composta interamente da ingredienti vegetali ed esclude i prodotti di origine animale. Prevede: + NO CARNE, PESCE O PRODOTTI ANIMALI COME GRASSI ANIMALI E GELATANA+ No PRODOTTI LATTIERO-CASEARI COME LATTE, FORMAGGIO o Yogurt DI MUCCA O CAPRA | niente uovo|niente miele",,,1.46951E+16,,,
Come sostituisco il formaggio?,"Inizia passando dal latte animale a quello vegetale con cereali: dopo uno o due giorni non noterai la differenza. Oppure grattugia il formaggio vegetariano sul tuo piatto di pasta con le verdure invece del parmigiano, un modo semplice per preparare piatti vegani senza alcuno sforzo aggiuntivo e senza bisogno di ingredienti aggiuntivi come burro/olio vegetale (o altri latticini).",,,1.36821E+16,,,
Ricette vegane senza glutine?,Niente UOVA + NO MIELE. (https://www.edmundo.com/gym-free-vegetarian-recipes/,all-mpnet-base-v2,google/flan-t5-base,4.49726E+15,0,0,1
Ricette con le lenticchie?,Solitamente per comodità e presenza di ingredienti in casa scelgo la seconda. Questa è una ricetta semplice ma molto gustosa e nutriente! CLAUDIO POMO Responsabile campagna Ingredienti per 4 persone: 250 g di lenticchie secche 4-5 patate grandi 1 carota 1/2 cipolla 1 spicchio d'aglio latte di soia dado vegetale 1 rametto di rosmarino 1 peperoncino (facoltativo) margarina olio extravergine d'oliva sale e pepe,,,5.63203E+16,,,
Ricetta della lasagna vegana?,":) Da quello che ho intrapreso la scelta vegana, diciamo che è stata una sfida sperimentare e reinventare ricette sempre nuove.. Purtroppo in quegli anni non era così facile, i ricettari vegani erano una rarità, speciali - attenzione per dolci ed era difficile trovare anche il latte di soia, ma i tempi sono cambiati e oggi si trova facilmente praticamente qualsiasi ingrediente.",,,6.68309E+15,,,
Ricette per integrare il ferro?,"pistacchi 32 g di anacardi tostati 57 g di lenticchie 95 g di ceci lessati 19 g di tahini 59 g di albicocche disidratate Oli di lino, colza e semi di canapa",,,4.87662E+15,,,
Come diventare vegani?,Inizia passando dal latte animale a quello vegetale con cereali: dopo uno o due giorni non noterai la differenza. Passare gradualmente all'alimentazione vegana iniziando con un pasto vegetale al giorno o un giorno di una dieta vegetale alla settimana. C’è chi mangia vegano solo dopo le 18!,,,4.16669E+15,,,
Antipasti vegani?,UN). (B). [C]. [D]. [e]. [F]. [G]. [H]. [ii] [v.]; O,,,3.72278E+16,,,
Come sostituisco la carne?,"Inizia passando dal latte animale a quello vegetale con cereali: dopo uno o due giorni non noterai la differenza. La ricetta originale prevede una carne macinata cotta in un brodo particolare, ricoperta con purè di patate e messa in forno.",,,4.12293E+14,,,
Cosa posso fare con le melanzane?,"Prepara un piatto di verdure. (È un primo piatto semplice e veloce da preparare, ma gustoso e perfetto per tutte le stagioni.) Aggiungete acqua calda quanto basta per coprirli e lasciateli cuocere",,,3.58679E+15,,,
Che significa essere vegani?,"SENZA CARNE, PESCE O PRODOTTI ANIMALI COME GRASSI ANIMALI O GELATINA + SENZA LATTICINI COME LATTE, FORMAGGIO O YOGURT DI MUCCA O CAPRA + SENZA UOVA + SENZA MIELE",,,5.09229E+15,,,
Come sostituisco il formaggio?,Grattugiate il formaggio vegetale sul vostro piatto di pasta con le verdure al posto del parmigiano. Potresti rimanere sorpreso da quanto poco ci sia da adattare in alcuni piatti che già mangi.,,,3.71861E+15,,,
Ricette vegane senza glutine?,Le ricette vegane non sono prive di glutine. Contengono molti grassi e zuccheri. Possono essere utilizzati per preparare cibo per tutta la famiglia. Potrebbero contenere anche altri ingredienti.,all-mpnet-base-v2,google/flan-t5-small,1.78351E+16,0,0,1
Ricette con le lenticchie?,"(iv) .3;(iv). 4:2;(iv), 4:4;(iv), 5:5;(iv)",,,1.45436E+16,,,
Ricetta della lasagna vegana?,"(iv) .2; 3). 4). 5). 4). 5). 4). 5. Sono vegetariana a 16 anni, e un paio d'anni dopo vegana, questa è stata una delle prime ricette che abbiamo provato a trasformare e “veganizzare” in casa.",,,1.93835E+16,,,
Ricette per integrare il ferro?,(iv) 2. (4). 4. (5). 5. (6). 6. (7). 7. (8). 8.9). 9.10) 10.10),,,1.51921E+15,,,
Come diventare vegani?,"(iv). 2). 3. Scegli il metodo giusto per te. 4. Puoi iniziare l'alimentazione vegana iniziando con un pasto vegetale al giorno, o un giorno di una settimana di dieta vegetale. 5.",,,1.55959E+16,,,
Antipasti vegani?,"(iv). B. 4). 5. Se non sei vegano, non cercare di inventare una risposta. 6. Evitare di mangiare verdure. 7. Non lesinare il formaggio vegetale sul tuo piatto di pasta con le verdure al posto del parmigiano. 8. Scegli frutta e verdura fresca.",,,2.44408E+16,,,
Come sostituisco la carne?,b)..4). 5. Aggiungi le verdure alla tua ricetta. 6. Sostituisci la carne con ingredienti più freschi. 7. Per cucinare utilizzare una pirofila adatta al forno. 8.,,,1.77062E+16,,,
Cosa posso fare con le melanzane?,"(iv) .3;2;4;5;6);7;8]+9;102""+14""+02""+02""+02""+02""+02""+02""+02""+02 ""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+ 02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02"" +02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02 ""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+ 02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02""+02"" +02""+02""+0",,,1.3489E+16,,,
Che significa essere vegani?,"ad esempio, non vegani o vegetariani (ad esempio, non vegetariani) e nessun vegetariano è considerato sano",,,1.50713E+15,,,
Come sostituisco il formaggio?,"Prendete le carote a fettine, sbucciate le patate e tagliatele a cubetti. Quindi provalo! FRANCESCO CORTONESI Coordinatore diessereanimaliflorenceIngredienti per 6 persone: 500g di tofu 4 carote 3 patate 1 cipolla una dozzina di foglie di salvia 1 rametto di rosmarino 120 ml",,,2.4573E+16,,,
Ricette vegane senza glutine?,"Non sono sicuro di quale sia la risposta. Dipende dalle tue preferenze e dal tuo stile di vita, ma potrebbe darsi che tu stia cercando qualcosa di più saporito o saporito delle tradizionali ricette vegane come gli involtini di seitan con verdure dentro?",all-MiniLM-L6-v2,declare-lab/flan-alpaca-base,6.8842E+15,0,1,1
Ricette con le lenticchie?,"Io suggerirei una semplice zuppa di lenticchie con seitan e qualche verdura. È anche delizioso, ma richiede più impegno per la preparazione rispetto alle altre ricette che sono state realizzate utilizzandoli per poter realizzare questo piatto a casa!",,,4.91927E+15,,,
Ricetta della lasagna vegana?,"Sono una ricetta di lasagne vegane che utilizza seitan e aglio. È facile da preparare, ma richiede un po' di tempo affinché la carne si cucini correttamente.",,,5.3852E+15,,,
Ricette per integrare il ferro?,"Le ricette per integrare il ferro includono: - Verdure arrostite come carote, sedano e cavolfiore. - Cereali integrali come farina d'avena o riso integrale con frutta secca per fonti proteiche aggiunte (come i fagioli).",,,7.0253E+15,,,
Come diventare vegani?,"Per diventare vegano, dovresti iniziare ricercando i diversi tipi di alimenti a base vegetale e i loro benefici nutrizionali. Puoi anche cercare informazioni sulle organizzazioni per il benessere degli animali che offrono una varietà di prodotti per aiutare le persone a passare da una dieta all'altra senza costi aggiuntivi o restrizioni sulle scelte di vita.",,,6.77666E+15,,,
Antipasti vegani?,"Gli antipasti vegani sono un ottimo modo per mettere le mani su alcune opzioni deliziose e salutari. Possono essere preparati con ingredienti freschi, come formaggio vegano o olio d'oliva, che di solito è disponibile nella maggior parte dei negozi di alimentari della zona.",,,5.15846E+15,,,
Come sostituisco la carne?,Io sostituirei la carne con le verdure. È un ottimo modo per ridurre la quantità di prodotti animali utilizzati nella nostra vita quotidiana e può essere un'alternativa efficace per i vegani che desiderano qualcosa di più saporito rispetto ai tradizionali piatti di manzo o maiale.,,,7.09869E+15,,,
Cosa posso fare con le melanzane?,"Posso aiutarti con questa domanda. Ecco un elenco dei diversi tipi e formati disponibili: 1. Una melanzana rotonda, di forma ovale 2. Una mela o una banana 3. Mele 4. Fette d'arancia 5. Spicchio di ananas 6. Succo di limone 7. Avocado 8. Banana 9. Pera 10. Pompelmo",,,5.65346E+15,,,
Che significa essere vegani?,"Significa che sei vegano e hai il diritto di scegliere la tua dieta. Puoi anche iniziare mangiando cibi a base vegetale, come frutta o verdura come spinaci, lattuga, pomodori, cipolle, ecc.",,,7.4611E+16,,,
Come sostituisco il formaggio?,"Potete sostituire il formaggio con un tipo diverso di latte, come quello di mandorla o di cocco. È importante utilizzare ingredienti freschi ed evitare l'uso di prodotti di origine animale come le uova al burro per alternative senza latticini.",,,5.04873E+15,,,
Ricette vegane senza glutine?,"SÌ. Penso che il primo sia più semplice da realizzare. È una dieta vegetariana. Il secondo è più semplice da realizzare. Hanno alcune ricette che sono già a base di verdure o che possono essere ""veganizzate"" facilmente.",all-MiniLM-L6-v2,google/flan-t5-base,8.65271E+15,0,1,1
Ricette con le lenticchie?,"Solitamente per comodità e presenza di ingredienti in casa scelgo la seconda. Questa è una ricetta semplice ma molto gustosa e nutriente! CLAUDIO POMO Responsabile campagna Ingredienti per 4 persone: 250 g di lenticchie secche 4-5 patate grandi 1 carota 1/2 cipolla 1 spicchio d'aglio latte di soia dado vegetale 1 rametto di rosmarino 1 peperoncino (facoltativo) margarina olio extravergine d'oliva sale e pepe Iniziate preparando le lenticchie, che richiedono circa 40 minuti di cottura.",,,1.32735E+16,,,
Ricetta della lasagna vegana?,"Nonostante lo scetticismo iniziale, anche i parenti hanno apprezzato. Quella qui riportata è la ricetta principale e deriva da quella originale. Aveva imparato ad apprezzarlo subito dopo la fine della guerra, quando un ex commilitone lo aveva invitato ad una “reunion” e glielo aveva fatto assaggiare.",,,8.24461E+15,,,
Ricette per integrare il ferro?,"pistacchi, anacardi, lenticchie, ceci, 19 g di tahini, 59 g di albicocche disidratate",,,7.80539E+15,,,
Come diventare vegani?,Passare gradualmente all'alimentazione vegana iniziando con un pasto vegetale al giorno o un giorno di una dieta vegetale alla settimana. C’è chi mangia vegano solo dopo le 18! Basta scegliere il metodo giusto per te.,,,5.42701E+15,,,
Antipasti vegani?,"una semplice casalinga con le lenticchie. (È una ricetta vegana, ma non è vegana).) e una più semplice casalinga con le lenticchie.",,,4.84106E+15,,,
Come sostituisco la carne?,"Dieta a base vegetale. Diminuire il consumo di carne è anche un comportamento ecologico, perché la produzione di alimenti vegetali richiede meno terra e acqua. Indipendentemente dalle motivazioni, passare a una dieta a base vegetale richiede un po’ di programmazione lavorativa, ma non è quel salto epocale in un territorio alimentare sconosciuto come molti pensano.",,,9.39952E+15,,,
Cosa posso fare con le melanzane?,"Aggiungeteli ad una zuppa. Metteteli a bagno in acqua per 48 ore, cambiando l'acqua almeno un paio di volte al giorno; quando saranno morbide, scolatele, sciacquatele e frullatele insieme a tutti gli ingredienti. Formate delle palline appiattite e passatele nel pangrattato.",,,6.91244E+15,,,
Che significa essere vegani?,"SENZA CARNE, PESCE O PRODOTTI ANIMALI COME GRASSI ANIMALI O GELATINA + SENZA LATTICINI COME LATTE, FORMAGGIO O YOGURT DI MUCCA O CAPRA + SENZA UOVA + SENZA MIELE",,,8.41395E+15,,,
Come sostituisco il formaggio?,Grattugiate il formaggio vegetale sul vostro piatto di pasta con le verdure al posto del parmigiano. Potresti rimanere sorpreso da quanto poco ci sia da adattare in alcuni piatti che già mangi.,,,4.74771E+15,,,
Ricette vegane senza glutine?,(iv) 2.25.4 4.15.6.7.8.3 5.14.9 6.10 7.10.11 8.20.13.12 9.30.16.17.18.19.21.23.24.23.22.23.23.23.23.23.23.23.23.23.23.23.23 .23.23.23.23.23.23.23 .23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23. 23.23.23.23.23.23.23.23.23.23 .23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23. 23.23.23.23.23.23.23.23.23.23 .23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23. 23.23.23.23.23.23.23.23.23.23 .23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23.23. 23.23.23.23.23.23.23.23.23.23 .23.23.23.23,all-MiniLM-L6-v2,google/flan-t5-small,2.12929E+15,0,0,0
Ricette con le lenticchie?,(iv) .3;(iv). 4:4;(iv) 3:5;(iv) 5:6;(iv),,,2.30569E+16,,,
Ricetta della lasagna vegana?,"(iv) .3 La ricetta originale prevede una carne macinata cotta in un brodo particolare, ricoperta di purè di patate e messa in forno;",,,2.64818E+16,,,
Ricette per integrare il ferro?,(iv) 2.a). 3.b). 4.c). 5 D). 6. d). 7. d). 8. d). 9.d). 10. d). 11.d).,,,2.7478E+15,,,
Come diventare vegani?,"una dieta vegana è composta interamente da ingredienti vegetali ed esclude prodotti derivati ??da animali. Prevede: + NO CARNE, PESCE O PRODOTTI ANIMALI COME GRASSI ANIMALI O GELATINA + NO LATTICINI COME LATTE, FORMAGGIO O YOGURT DI MUCCA O CAPRA + NO UOVA + NO MIELE",,,3.66522E+16,,,
Antipasti vegani?,(iv) .4;3;4;5);6]•7].2 •8].3”14”.3–4.4,,,1.73136E+16,,,
Come sostituisco la carne?,"(iv). 2)..3). 4. Non conosco la risposta, dì solo che non sai come inventare una risposta a questa domanda.",,,1.91579E+14,,,
Cosa posso fare con le melanzane?,(iv) .3 Quindi possono essere utilizzati come antipasto. 4. Sono deliziosi! 5. Sono stati cotti per 48 ore. 6. È facile realizzarli. 7. Potrebbe essere necessario un po' di tempo di cottura extra. 8. Ti aiuteranno nella preparazione. 9. Possono servire anche come pangrattato. 10. Possono essere realizzati in piccoli lotti.,,,3.80057E+16,,,
Che significa essere vegani?,"No CARNE, PESCE O PRODOTTI ANIMALI COME GRASSI ANIMALI O GELATINA + NO LATTICINI COME LATTE, FORMAGGIO O YOGURT DI MUCCA O CAPRA + NO UOVA + NO MIELE",,,4.30573E+15,,,
